               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.030011,            0.027959,          0.00047619,             0.90906,             0.85101,             0.88233,             0.40459,            0.042941,            0.036384,            0.002319,            0.003961,            0.003961,            0.003961
                  63,            0.029916,             0.02863,          0.00046472,             0.91634,             0.84004,             0.87759,             0.40381,            0.042956,            0.036793,            0.002454,            0.003862,            0.003862,            0.003862
                  64,            0.029849,            0.028757,          0.00045015,             0.92722,              0.8359,             0.88516,             0.40806,            0.042857,            0.036591,           0.0025068,            0.003763,            0.003763,            0.003763
                  65,            0.029531,            0.028144,           0.0004571,             0.92233,             0.84701,             0.88558,             0.40796,            0.042853,            0.037165,           0.0024882,            0.003664,            0.003664,            0.003664
                  66,            0.029431,            0.027775,          0.00044748,             0.92677,             0.84786,             0.88305,             0.40379,            0.042858,            0.037067,           0.0026476,            0.003565,            0.003565,            0.003565
                  67,            0.029628,            0.028418,          0.00046132,             0.92309,             0.84262,             0.88304,             0.40516,            0.042778,            0.037115,           0.0031015,            0.003466,            0.003466,            0.003466
                  68,            0.029532,             0.02855,          0.00044473,              0.9215,             0.84507,             0.88297,             0.40639,            0.042864,            0.036847,           0.0026195,            0.003367,            0.003367,            0.003367
                  69,            0.029038,            0.028069,          0.00042406,             0.92105,             0.83871,              0.8813,             0.40521,            0.042831,            0.037354,           0.0024141,            0.003268,            0.003268,            0.003268
                  70,            0.028951,            0.027407,          0.00044168,             0.92125,             0.85614,             0.88995,             0.40572,            0.042904,            0.037441,           0.0025897,            0.003169,            0.003169,            0.003169
                  71,            0.028979,            0.027383,          0.00046379,             0.92693,             0.83835,             0.88539,             0.40385,            0.042954,            0.037711,            0.002566,             0.00307,             0.00307,             0.00307
                  72,            0.028645,            0.026969,          0.00043664,             0.92366,              0.8408,             0.88101,             0.40232,            0.043244,            0.037827,            0.002504,            0.002971,            0.002971,            0.002971
                  73,            0.028656,            0.027749,          0.00040484,             0.92183,             0.84637,             0.88771,             0.40695,             0.04275,             0.03781,           0.0026116,            0.002872,            0.002872,            0.002872
                  74,            0.028021,            0.026625,          0.00041075,             0.90902,             0.85342,             0.88426,             0.40458,            0.043008,            0.037822,           0.0025843,            0.002773,            0.002773,            0.002773
                  75,             0.02836,            0.027611,          0.00039024,             0.92493,             0.84172,             0.88636,             0.40712,               0.043,            0.037895,           0.0026419,            0.002674,            0.002674,            0.002674
                  76,            0.028295,            0.026446,          0.00038413,             0.91709,             0.84654,             0.88677,             0.40386,            0.043092,            0.038016,           0.0025929,            0.002575,            0.002575,            0.002575
                  77,              0.0279,             0.02664,          0.00038194,             0.91237,             0.83976,             0.87774,             0.40417,            0.043128,            0.038429,           0.0027297,            0.002476,            0.002476,            0.002476
                  78,            0.027842,            0.027195,          0.00034781,              0.9198,              0.8386,             0.88183,             0.40509,            0.043161,             0.03861,           0.0024674,            0.002377,            0.002377,            0.002377
                  79,            0.027524,            0.026826,          0.00039412,             0.91453,             0.83878,             0.87977,             0.40366,            0.043116,            0.039246,           0.0024733,            0.002278,            0.002278,            0.002278
                  80,            0.027588,            0.026725,          0.00036162,             0.91574,             0.84691,             0.88025,             0.40547,            0.043094,            0.038919,           0.0025063,            0.002179,            0.002179,            0.002179
                  81,              0.0278,            0.026919,          0.00037062,             0.92095,             0.83794,             0.88145,             0.40447,            0.043157,            0.038922,           0.0026036,             0.00208,             0.00208,             0.00208
                  82,            0.027273,            0.025954,          0.00037489,              0.9235,             0.84473,             0.88562,             0.40586,            0.042969,            0.039169,           0.0024466,            0.001981,            0.001981,            0.001981
